arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count,quantity_numeric,arrival_quantity_qtl,quantity_quality,mandi_name,district,state,mandi_type
ARR0003230,2026-04-03,MANDI051,Mustard,PBW-343,38.055,TONNE,6.0,38.06,380.6,VALID,Gulbarga Market,Saharanpur,Uttar Pradesh,Private
ARR0003266,2026-04-24,MANDI023,Sugarcane,,97.11,QTL,17.0,97.11,97.11,VALID,Panihati APMC,Karnal,Haryana,Private
ARR0023966,2026-03-03,MANDI017,Mustard,PBW-343,15999.0,UNKNOWN,125.0,15999.0,,UNKNOWN_UNIT,Parbhani Market,,Punjab,Private
ARR0017190,2026-08-01,MANDI002,Cotton,PBW-343,"22,697.0 KG",KG,73.0,22697.0,226.97,VALID,Solapur Mandi,Ludhiana,,APMC
ARR0003048,2026-01-24,MANDI016,Cotton,Premium,7845.0,KG,54.0,7845.0,78.45,VALID,Kulti APMC,Bathinda,Punjab,Unknown
ARR0013641,2026-03-18,MANDI018,Mustard,Premium,342.39,QTL,143.0,342.39,342.39,VALID,Jaunpur Mandi,Moga,Punjab,Unknown
ARR0019876,2026-07-12,MANDI054,Basmati,,32227.0,KG,127.0,32227.0,322.27,VALID,Nangloi Jat Grain Market,Saharanpur,,Direct
ARR0018787,2026-08-08,MANDI044,Rice,Pusa-1121,336.73 qtl,QTL,69.0,336.73,336.73,VALID,Dehri Mandi,Agra,Uttar Pradesh,APMC
ARR0020778,2026-03-08,MANDI024,Mustard,HD-2967,12790.0,UNKNOWN,113.0,12790.0,,UNKNOWN_UNIT,Jaipur Mandi,Karnal,Haryana,APMC
ARR0002765,2026-02-28,MANDI013,Mustard,Premium,361.74,QTL,62.0,361.74,361.74,VALID,Aurangabad Market,Patiala,Punjab,Private
ARR0014145,2026-01-31,MANDI006,Sugarcane,Pusa-1121,469.92,QTL,18.0,469.92,469.92,VALID,Kochi Mandi,Amritsar,Punjab,Direct
ARR0012859,2026-03-20,MANDI057,Cotton,PBW-343,34.129000000000005,TONNE,,34.13,341.3,VALID,Gorakhpur APMC,Bareilly,,Direct
ARR0023766,2026-02-02,MANDI025,Rice,HD-2967,17588.0,KG,88.0,17588.0,175.88,VALID,Dindigul APMC,Karnal,Haryana,APMC
ARR0009572,2026-05-10,MANDI041,Maize,Premium,17.603,TONNE,38.0,17.6,176.0,VALID,Gurgaon Grain Market,Fatehabad,Haryana,APMC
ARR0021131,2026-04-24,MANDI040,Maize,Hybrid,309.07 qtl,QTL,146.0,309.07,309.07,VALID,Jodhpur Market,Fatehabad,Haryana,Direct
ARR0022207,2026-03-25,MANDI027,Basmati,HD-2967,47236.0,KG,11.0,47236.0,472.36,VALID,Kochi APMC,Hisar,Haryana,APMC
ARR0005385,2026-08-07,MANDI028,Cotton,Hybrid,12.677,TONNE,5.0,12.68,126.8,VALID,Machilipatnam APMC,Hisar,Haryana,Unknown
ARR0020517,2026-06-02,MANDI026,Wheat,PBW-343,28.492,TONNE,99.0,28.49,284.9,VALID,Tadipatri Mandi,Hisar,Haryana,Private
ARR0015213,2026-02-27,MANDI005,Rice,PBW-343,54.32,QTL,122.0,54.32,54.32,VALID,Bhilwara Grain Market,Amritsar,Punjab,Direct
ARR_MISSING_00002,2026-02-04,MANDI031,Maize,Local,431.25 qtl,QTL,60.0,431.25,431.25,VALID,Nangloi Jat Mandi,Sirsa,Haryana,APMC
ARR0010273,2026-03-06,MANDI021,Mustard,,200.26,QTL,11.0,200.26,200.26,VALID,Guna Mandi,Ferozepur,Punjab,APMC
ARR0023476,2026-06-05,MANDI023,Mustard,PBW-343,312.23,QTL,18.0,312.23,312.23,VALID,Panihati APMC,Karnal,Haryana,Private
ARR0013815,2026-06-08,MANDI009,Maize,HD-2967,27041.000000000004,UNKNOWN,83.0,27041.0,,UNKNOWN_UNIT,Jamshedpur APMC,Jalandhar,Punjab,APMC
ARR0023287,2026-02-08,MANDI003,Cotton,PBW-343,4.441,TONNE,127.0,4.44,44.400000000000006,VALID,Vijayawada Mandi,Ludhiana,Punjab,Unknown
ARR0016192,2026-07-03,MANDI023,Maize,,455.6,QTL,59.0,455.6,455.6,VALID,Panihati APMC,Karnal,Haryana,Private
ARR0011823,2026-01-13,MANDI004,Rice,HD-2967,60.33,QTL,124.0,60.33,60.33,VALID,Khandwa Grain Market,Ludhiana,Punjab,APMC
ARR0005816,2026-01-24,MANDI039,Sugarcane,PBW-343,158.3,QTL,135.0,158.3,158.3,VALID,Anand Grain Market,,Haryana,APMC
ARR0006030,2026-04-22,MANDI033,Cotton,HD-2967,"43,655.0 KG",KG,128.0,43655.0,436.55,VALID,South Dumdum Grain Market,Ambala,Haryana,APMC
ARR0010009,2026-03-10,MANDI004,Rice,,29139.999999999996,KG,,29140.0,291.4,VALID,Khandwa Grain Market,Ludhiana,Punjab,APMC
ARR0022129,2026-02-10,MANDI040,Sugarcane,Local,45813.0,KG,131.0,45813.0,458.13,VALID,Jodhpur Market,Fatehabad,Haryana,Direct
ARR0015481,2026-06-09,MANDI028,Maize,Premium,"7,278.0 KG",KG,68.0,7278.0,72.78,VALID,Machilipatnam APMC,Hisar,Haryana,Unknown
ARR0020630,2026-08-16,MANDI028,Rice,Local,32583.0,KG,36.0,32583.0,325.83,VALID,Machilipatnam APMC,Hisar,Haryana,Unknown
ARR0005888,2026-07-03,MANDI049,Maize,,182.46,QTL,,182.46,182.46,VALID,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh,Private
ARR0006650,2026-09-06,MANDI043,Rice,Local,18275.0,KG,128.0,18275.0,182.75,VALID,Danapur Mandi,Agra,Uttar Pradesh,Private
ARR0002363,2026-03-09,MANDI026,Maize,Pusa-1121,23947.0,KG,29.0,23947.0,239.47,VALID,Tadipatri Mandi,Hisar,Haryana,Private
ARR0010446,2026-08-05,MANDI026,Maize,Pusa-1121,17.899,TONNE,21.0,17.9,179.0,VALID,Tadipatri Mandi,Hisar,Haryana,Private
ARR0009069,2026-05-15,MANDI022,Cotton,Pusa-1121,5918.0,UNKNOWN,76.0,5918.0,,UNKNOWN_UNIT,Eluru APMC,Karnal,Haryana,Unknown
ARR0020854,2026-06-18,MANDI035,Sugarcane,Pusa-1121,158.72,QTL,,158.72,158.72,VALID,Guntakal Mandi,Ambala,Haryana,APMC
ARR0023442,2026-05-20,MANDI056,Cotton,,25827.999999999996,KG,73.0,25828.0,258.28,VALID,Bilaspur Mandi,Bareilly,Uttar Pradesh,Private
ARR0011135,2026-06-20,MANDI035,Rice,Premium,37.528,TONNE,138.0,37.53,375.3,VALID,Guntakal Mandi,Ambala,Haryana,APMC
ARR0000197,2026-05-20,MANDI001,Cotton,HD-2967,76.9 qtl,QTL,118.0,76.9,76.9,VALID,Hyderabad Mandi,Ludhiana,Punjab,Private
ARR_MISSING_00003,2026-05-08,MANDI002,Maize,HD-2967,28557.0,KG,46.0,28557.0,285.57,VALID,Solapur Mandi,Ludhiana,,APMC
ARR0001203,2026-04-04,MANDI045,Cotton,PBW-343,2683.0,KG,12.0,2683.0,26.83,VALID,Farrukhabad Mandi,Meerut,Uttar Pradesh,Private
ARR0009407,2026-04-05,MANDI051,Mustard,Local,108.06,QTL,78.0,108.06,108.06,VALID,Gulbarga Market,Saharanpur,Uttar Pradesh,Private
ARR0013714,2026-03-31,MANDI038,Cotton,Premium,37.288,TONNE,41.0,37.29,372.9,VALID,Jalandhar Mandi,Kurukshetra,Haryana,Private
ARR0002798,2026-04-08,MANDI043,Cotton,Hybrid,354.98,QTL,11.0,354.98,354.98,VALID,Danapur Mandi,Agra,Uttar Pradesh,Private
ARR0006770,2026-06-25,MANDI015,Wheat,Hybrid,141.83,QTL,134.0,141.83,141.83,VALID,Amravati Grain Market,Bathinda,Punjab,APMC
ARR0019634,2026-03-25,MANDI013,Cotton,,18.137,TONNE,45.0,18.14,181.4,VALID,Aurangabad Market,Patiala,Punjab,Private
ARR0012525,2026-06-25,MANDI043,Maize,Premium,334.11,QTL,119.0,334.11,334.11,VALID,Danapur Mandi,Agra,Uttar Pradesh,Private
ARR0016292,2026-02-05,MANDI049,Maize,Pusa-1121,41458.0,KG,36.0,41458.0,414.58,VALID,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh,Private
ARR0019272,2026-03-05,MANDI030,Sugarcane,Local,"39,083.0 KG",KG,104.0,39083.0,390.83,VALID,Patiala APMC,Sirsa,,Unknown
ARR0004049,2026-04-13,MANDI003,Rice,Pusa-1121,21412.0,KG,56.0,21412.0,214.12,VALID,Vijayawada Mandi,Ludhiana,Punjab,Unknown
ARR0002716,2026-07-17,MANDI057,Sugarcane,Hybrid,41389.0,KG,106.0,41389.0,413.89,VALID,Gorakhpur APMC,Bareilly,,Direct
ARR0014184,2026-02-12,MANDI037,Mustard,PBW-343,"35,649.0 KG",KG,,35649.0,356.49,VALID,Jorhat Grain Market,Kurukshetra,Haryana,APMC
ARR0000429,2026-08-25,MANDI039,Cotton,Hybrid,12.656,TONNE,76.0,12.66,126.6,VALID,Anand Grain Market,,Haryana,APMC
ARR0024925,2026-08-04,MANDI024,Wheat,,18344.0,KG,83.0,18344.0,183.44,VALID,Jaipur Mandi,Karnal,Haryana,APMC
ARR0019727,2026-04-30,MANDI034,Cotton,PBW-343,40381.0,KG,81.0,40381.0,403.81,VALID,Ludhiana Grain Market,Ambala,Haryana,Unknown
ARR0002477,2026-03-28,MANDI020,Rice,Local,31.139,TONNE,150.0,31.14,311.4,VALID,Kadapa Mandi,Ferozepur,Punjab,Direct
ARR0000342,2026-06-17,MANDI033,Cotton,Premium,191.48,QTL,30.0,191.48,191.48,VALID,South Dumdum Grain Market,Ambala,Haryana,APMC
ARR0023820,2026-07-25,MANDI029,Mustard,Local,27200.0,KG,,27200.0,272.0,VALID,Asansol Grain Market,Sirsa,Haryana,Direct
ARR0010204,2026-07-21,MANDI006,Rice,,2584.0,KG,102.0,2584.0,25.84,VALID,Kochi Mandi,Amritsar,Punjab,Direct
ARR0000398,2026-03-25,MANDI029,Maize,PBW-343,20.63 qtl,QTL,44.0,20.63,20.63,VALID,Asansol Grain Market,Sirsa,Haryana,Direct
ARR0020708,2026-06-01,MANDI054,Cotton,Hybrid,41.019999999999996,TONNE,60.0,41.02,410.2000000000001,VALID,Nangloi Jat Grain Market,Saharanpur,,Direct
ARR0020105,2026-02-19,MANDI028,Mustard,Pusa-1121,48.563,TONNE,60.0,48.56,485.6,VALID,Machilipatnam APMC,Hisar,Haryana,Unknown
ARR0019842,2026-03-30,MANDI056,Sugarcane,Pusa-1121,2948.0,KG,112.0,2948.0,29.48,VALID,Bilaspur Mandi,Bareilly,Uttar Pradesh,Private
ARR0014214,2026-02-21,MANDI031,Sugarcane,Hybrid,478.99 qtl,QTL,123.0,478.99,478.99,VALID,Nangloi Jat Mandi,Sirsa,Haryana,APMC
ARR0017781,2026-05-24,MANDI031,Sugarcane,PBW-343,46065.0,KG,46.0,46065.0,460.65,VALID,Nangloi Jat Mandi,Sirsa,Haryana,APMC
ARR0009910,2026-04-28,MANDI041,Cotton,Pusa-1121,372.43,QTL,42.0,372.43,372.43,VALID,Gurgaon Grain Market,Fatehabad,Haryana,APMC
ARR0008506,2026-02-03,MANDI024,Rice,Hybrid,74.11,QTL,96.0,74.11,74.11,VALID,Jaipur Mandi,Karnal,Haryana,APMC
ARR0023886,2026-07-12,MANDI011,Maize,Local,15663.999999999998,KG,14.0,15664.0,156.64,VALID,Arrah Mandi,Patiala,Punjab,Unknown
ARR0006149,2026-04-27,MANDI041,Cotton,Pusa-1121,4638.0,KG,103.0,4638.0,46.38,VALID,Gurgaon Grain Market,Fatehabad,Haryana,APMC
ARR0023964,2026-07-20,MANDI008,Rice,,81.67,QTL,,81.67,81.67,VALID,Bijapur Market,Amritsar,Punjab,APMC
ARR0003143,2026-08-24,MANDI034,Rice,HD-2967,401.5 qtl,QTL,113.0,401.5,401.5,VALID,Ludhiana Grain Market,Ambala,Haryana,Unknown
ARR0002588,2026-06-05,MANDI040,Mustard,,4.489,TONNE,137.0,4.49,44.900000000000006,VALID,Jodhpur Market,Fatehabad,Haryana,Direct
ARR0002948,2026-02-18,MANDI019,Wheat,,"12,646.0 KG",KG,146.0,12646.0,126.46,VALID,Karimnagar Grain Market,Moga,Punjab,Private
ARR0015103,2026-02-22,MANDI050,Cotton,Pusa-1121,24245.0,KG,73.0,24245.0,242.45,VALID,Durg Market,Muzaffarnagar,Uttar Pradesh,Unknown
ARR0011288,2026-01-04,MANDI043,Cotton,Pusa-1121,27258.999999999996,KG,43.0,27259.0,272.59,VALID,Danapur Mandi,Agra,Uttar Pradesh,Private
ARR0009656,2026-04-01,MANDI018,Sugarcane,HD-2967,"7,537.0 KG",KG,,7537.0,75.37,VALID,Jaunpur Mandi,Moga,Punjab,Unknown
ARR0002899,2026-07-23,MANDI017,Cotton,Hybrid,"41,341.0 KG",KG,134.0,41341.0,413.41,VALID,Parbhani Market,,Punjab,Private
ARR0013711,2026-03-29,MANDI028,Sugarcane,Hybrid,47.79,QTL,15.0,47.79,47.79,VALID,Machilipatnam APMC,Hisar,Haryana,Unknown
ARR0009578,2026-04-12,MANDI016,Maize,Pusa-1121,309.79,QTL,20.0,309.79,309.79,VALID,Kulti APMC,Bathinda,Punjab,Unknown
ARR0005981,2026-04-05,MANDI004,Rice,Premium,22842.0,KG,145.0,22842.0,228.42,VALID,Khandwa Grain Market,Ludhiana,Punjab,APMC
ARR0023291,2026-02-11,MANDI020,Wheat,Premium,80.86,QTL,89.0,80.86,80.86,VALID,Kadapa Mandi,Ferozepur,Punjab,Direct
ARR0009654,2026-03-13,MANDI030,Sugarcane,,"24,318.0 KG",KG,31.0,24318.0,243.18,VALID,Patiala APMC,Sirsa,,Unknown
ARR0012458,2026-05-08,MANDI039,Mustard,Pusa-1121,276.83,QTL,24.0,276.83,276.83,VALID,Anand Grain Market,,Haryana,APMC
ARR0014621,2026-05-23,MANDI056,Sugarcane,Local,"26,952.999999999996 KG",KG,80.0,26953.0,269.53,VALID,Bilaspur Mandi,Bareilly,Uttar Pradesh,Private
ARR0016696,2026-01-31,MANDI039,Maize,Pusa-1121,6202.0,UNKNOWN,132.0,6202.0,,UNKNOWN_UNIT,Anand Grain Market,,Haryana,APMC
ARR0004195,2026-07-17,MANDI035,Mustard,PBW-343,16784.0,UNKNOWN,129.0,16784.0,,UNKNOWN_UNIT,Guntakal Mandi,Ambala,Haryana,APMC
ARR0014009,2026-08-04,MANDI007,Maize,,418.67,QTL,85.0,418.67,418.67,VALID,Nashik Mandi,Amritsar,Punjab,Private
ARR0002509,2026-05-31,MANDI013,Maize,HD-2967,2.2,TONNE,141.0,2.2,22.0,VALID,Aurangabad Market,Patiala,Punjab,Private
ARR0017972,2026-02-26,MANDI034,Rice,Local,29339.999999999996,KG,6.0,29340.0,293.4,VALID,Ludhiana Grain Market,Ambala,Haryana,Unknown
ARR_MISSING_00004,2026-08-19,MANDI044,Wheat,Hybrid,16.017,TONNE,138.0,16.02,160.2,VALID,Dehri Mandi,Agra,Uttar Pradesh,APMC
ARR0003269,2026-04-03,MANDI046,Rice,PBW-343,41.098,TONNE,43.0,41.1,411.0,VALID,Baranagar Market,,Uttar Pradesh,Private
ARR0018741,2026-02-20,MANDI056,Sugarcane,Premium,256.67,QTL,31.0,256.67,256.67,VALID,Bilaspur Mandi,Bareilly,Uttar Pradesh,Private
ARR0003705,2026-04-10,MANDI002,Mustard,Hybrid,24.500999999999998,TONNE,,24.5,245.0,VALID,Solapur Mandi,Ludhiana,,APMC
ARR0010827,2026-05-29,MANDI016,Rice,Premium,156.22,QTL,95.0,156.22,156.22,VALID,Kulti APMC,Bathinda,Punjab,Unknown
ARR0007570,2026-07-29,MANDI019,Mustard,Premium,32635.000000000004,KG,105.0,32635.0,326.35,VALID,Karimnagar Grain Market,Moga,Punjab,Private
ARR0011179,2026-03-30,MANDI040,Mustard,,32.755,TONNE,26.0,32.76,327.6,VALID,Jodhpur Market,Fatehabad,Haryana,Direct
ARR0009296,2026-05-10,MANDI001,Maize,,2.35,TONNE,,2.35,23.5,VALID,Hyderabad Mandi,Ludhiana,Punjab,Private
ARR0019940,2026-08-21,MANDI022,Sugarcane,HD-2967,1.6329999999999998,TONNE,68.0,1.63,16.299999999999997,VALID,Eluru APMC,Karnal,Haryana,Unknown
ARR0004811,2026-05-26,MANDI020,Rice,Hybrid,8974.0,UNKNOWN,77.0,8974.0,,UNKNOWN_UNIT,Kadapa Mandi,Ferozepur,Punjab,Direct
ARR0020960,2026-03-03,MANDI047,Mustard,Premium,32314.999999999996,UNKNOWN,,32315.0,,UNKNOWN_UNIT,Orai Market,Muzaffarnagar,Uttar Pradesh,APMC
ARR0002791,2026-02-06,MANDI055,Mustard,PBW-343,21128.0,KG,47.0,21128.0,211.28,VALID,Chandigarh APMC,Bareilly,Uttar Pradesh,APMC
ARR0012957,2026-02-10,MANDI019,Rice,Local,27.808,TONNE,36.0,27.81,278.1,VALID,Karimnagar Grain Market,Moga,Punjab,Private
ARR0022933,2026-04-08,MANDI037,Cotton,Premium,28.54 qtl,QTL,9.0,28.54,28.54,VALID,Jorhat Grain Market,Kurukshetra,Haryana,APMC
ARR0014544,2026-07-31,MANDI022,Maize,Pusa-1121,11.488,TONNE,116.0,11.49,114.9,VALID,Eluru APMC,Karnal,Haryana,Unknown
ARR0013198,2026-04-25,MANDI010,Wheat,Pusa-1121,59.22,QTL,43.0,59.22,59.22,VALID,Dhule APMC,Jalandhar,Punjab,Direct
ARR0007340,2026-03-23,MANDI012,Wheat,Premium,21570.0,KG,80.0,21570.0,215.7,VALID,Gaya Grain Market,Patiala,Punjab,Unknown
ARR0020658,2026-08-01,MANDI021,Rice,Hybrid,40.966,TONNE,96.0,40.97,409.7,VALID,Guna Mandi,Ferozepur,Punjab,APMC
ARR0001088,2026-05-07,MANDI017,Mustard,Pusa-1121,495.58,QTL,94.0,495.58,495.58,VALID,Parbhani Market,,Punjab,Private
ARR0008152,2026-06-08,MANDI008,Cotton,,188.7 qtl,QTL,147.0,188.7,188.7,VALID,Bijapur Market,Amritsar,Punjab,APMC
ARR0021890,2026-06-02,MANDI009,Sugarcane,,493.91,QTL,84.0,493.91,493.91,VALID,Jamshedpur APMC,Jalandhar,Punjab,APMC
ARR0007925,2026-07-19,MANDI037,Mustard,Local,66.2 qtl,QTL,32.0,66.2,66.2,VALID,Jorhat Grain Market,Kurukshetra,Haryana,APMC
ARR0017611,2026-04-12,MANDI024,Maize,Hybrid,165.63,QTL,77.0,165.63,165.63,VALID,Jaipur Mandi,Karnal,Haryana,APMC
ARR0016207,2026-07-07,MANDI032,Maize,Pusa-1121,"31,000.0 KG",KG,34.0,31000.0,310.0,VALID,Chapra Grain Market,,Haryana,Private
ARR0024181,2026-05-07,MANDI015,Sugarcane,Local,110.39,QTL,20.0,110.39,110.39,VALID,Amravati Grain Market,Bathinda,Punjab,APMC
ARR0004419,2026-03-21,MANDI006,Sugarcane,Hybrid,64.7,QTL,105.0,64.7,64.7,VALID,Kochi Mandi,Amritsar,Punjab,Direct
ARR0006199,2026-02-11,MANDI053,Sugarcane,Local,153.27,QTL,79.0,153.27,153.27,VALID,Panihati Market,Saharanpur,Uttar Pradesh,APMC
ARR0014957,2026-01-09,MANDI019,Mustard,Hybrid,40396.0,KG,79.0,40396.0,403.96,VALID,Karimnagar Grain Market,Moga,Punjab,Private
ARR0023574,2026-02-26,MANDI023,Mustard,Premium,431.18,QTL,129.0,431.18,431.18,VALID,Panihati APMC,Karnal,Haryana,Private
ARR0017021,2026-03-14,MANDI020,Rice,Pusa-1121,2536.0,KG,72.0,2536.0,25.36,VALID,Kadapa Mandi,Ferozepur,Punjab,Direct
ARR0013505,2026-06-06,MANDI052,Mustard,,96.35,QTL,,96.35,96.35,VALID,Kakinada APMC,Saharanpur,Uttar Pradesh,Unknown
ARR0002534,2026-07-02,MANDI007,Mustard,Pusa-1121,4.398,TONNE,21.0,4.4,44.0,VALID,Nashik Mandi,Amritsar,Punjab,Private
ARR0009802,2026-09-07,MANDI026,Cotton,HD-2967,486.01,QTL,12.0,486.01,486.01,VALID,Tadipatri Mandi,Hisar,Haryana,Private
ARR0015940,2026-03-13,MANDI028,Maize,,298.47,QTL,18.0,298.47,298.47,VALID,Machilipatnam APMC,Hisar,Haryana,Unknown
ARR0005817,2026-03-20,MANDI013,Maize,,287.47 qtl,QTL,12.0,287.47,287.47,VALID,Aurangabad Market,Patiala,Punjab,Private
ARR0023731,2026-03-15,MANDI008,Sugarcane,HD-2967,38.977999999999994,TONNE,,38.98,389.8,VALID,Bijapur Market,Amritsar,Punjab,APMC
ARR0018857,2026-01-25,MANDI042,Sugarcane,Hybrid,151.28,QTL,113.0,151.28,151.28,VALID,Erode Mandi,Fatehabad,Haryana,Private
ARR0020189,2026-05-24,MANDI057,Maize,,241.75,QTL,68.0,241.75,241.75,VALID,Gorakhpur APMC,Bareilly,,Direct
ARR0022768,2026-06-28,MANDI024,Mustard,Premium,44371.0,UNKNOWN,42.0,44371.0,,UNKNOWN_UNIT,Jaipur Mandi,Karnal,Haryana,APMC
ARR0018919,2026-03-17,MANDI024,Mustard,,7806.999999999999,KG,132.0,7807.0,78.07,VALID,Jaipur Mandi,Karnal,Haryana,APMC
ARR0006562,2026-04-19,MANDI014,Wheat,PBW-343,"25,811.0 KG",KG,25.0,25811.0,258.11,VALID,Bathinda Grain Market,Patiala,Punjab,Private
ARR0004149,2026-06-04,MANDI003,Rice,Premium,318.3,QTL,48.0,318.3,318.3,VALID,Vijayawada Mandi,Ludhiana,Punjab,Unknown
ARR0024592,2026-08-28,MANDI037,Rice,PBW-343,62.98 qtl,QTL,55.0,62.98,62.98,VALID,Jorhat Grain Market,Kurukshetra,Haryana,APMC
ARR0011429,2026-08-04,MANDI042,Wheat,Local,19312.0,KG,101.0,19312.0,193.12,VALID,Erode Mandi,Fatehabad,Haryana,Private
