sensor_id,timestamp,temperature,temp_unit,rainfall,rain_unit,humidity_percent,temperature_raw,temperature_numeric,temp_unit_clean,temperature_c,rainfall_raw,rain_unit_clean,rainfall_mm,timestamp_raw,timestamp_ist,date
SEN002,2026-07-06 04:29:39 UTC,95.2,Fahrenheit,,mm,73.0,95.2,95.2,f,35.11,-40.2,mm,,2026-07-06 04:29:39 UTC,2026-07-06 09:59:39+05:30,2026-07-06
SEN007,2026-08-19 21:08:23 UTC,23.1,C,1.84,in,62.0,23.1,23.1,c,23.1,1.84,in,46.74,2026-08-19 21:08:23 UTC,2026-08-20 02:38:23+05:30,2026-08-20
SEN005,,91.4,f,1.58,inch,80.0,91.4,91.4,f,33.0,1.58,in,40.13,,,
SEN029,2026-05-13 03:32:20 UTC,82.4,f,0.67,inch,94.0,82.4,82.4,f,28.0,0.67,in,17.02,2026-05-13 03:32:20 UTC,2026-05-13 09:02:20+05:30,2026-05-13
SEN022,2026-06-07 21:06:11 UTC,70.5,°F,0.57,inch,60.0,70.5,70.5,f,21.39,0.57,in,14.48,2026-06-07 21:06:11 UTC,2026-06-08 02:36:11+05:30,2026-06-08
SEN015,2026-02-21 12:03:50,78.4,f,14.9,mm,87.0,78.4,78.4,f,25.78,14.9,mm,14.9,2026-02-21 12:03:50,2026-02-21 12:03:50+05:30,2026-02-21
SEN012,2026-03-15 07:21:07 UTC,59.9,f,1.28,in,94.0,59.9,59.9,f,15.5,1.28,in,32.51,2026-03-15 07:21:07 UTC,2026-03-15 12:51:07+05:30,2026-03-15
SEN029,2026-01-31 20:48:03 IST,71.4,F,,,69.0,71.4,71.4,f,21.89,,,,2026-01-31 20:48:03 IST,2026-01-31 20:48:03+05:30,2026-01-31
SEN043,2026-08-23 15:21:41 IST,33.6,C,27.4,millimeters,76.0,33.6,33.6,c,33.6,27.4,mm,27.4,2026-08-23 15:21:41 IST,2026-08-23 15:21:41+05:30,2026-08-23
SEN023,2026-04-13 16:20:56 UTC,18.4,°C,1.7,inch,50.0,18.4,18.4,c,18.4,1.7,in,43.18,2026-04-13 16:20:56 UTC,2026-04-13 21:50:56+05:30,2026-04-13
SEN038,,23.7,c,45.5,mm,92.0,23.7,23.7,c,23.7,45.5,mm,45.5,,,
SEN010,,72.5,°F,11.4,MM,80.0,72.5,72.5,f,22.5,11.4,mm,11.4,,,
UNKNOWN,2026-04-05 13:30:02 UTC,30.9,Celsius,1.01,in,,30.9,30.9,c,30.9,1.01,in,25.65,2026-04-05 13:30:02 UTC,2026-04-05 19:00:02+05:30,2026-04-05
SEN003,01/06/2026 20:19,79.9,f,29.4,millimeters,47.0,79.9,79.9,f,26.61,29.4,mm,29.4,01/06/2026 20:19,2026-06-01 20:19:00+05:30,2026-06-01
SEN046,2026-05-19 06:18:45 UTC,29.3,C,,mm,36.0,29.3,29.3,c,29.3,-15.0,mm,,2026-05-19 06:18:45 UTC,2026-05-19 11:48:45+05:30,2026-05-19
SEN016,,26.7,c,5.2,millimeters,89.0,26.7,26.7,c,26.7,5.2,mm,5.2,,,
SEN034,2026-04-13 08:56:28 IST,39.9,Celsius,1.08,inches,59.0,39.9,39.9,c,39.9,1.08,in,27.43,2026-04-13 08:56:28 IST,2026-04-13 08:56:28+05:30,2026-04-13
SEN002,,22.7,c,1.92,inches,57.0,22.7,22.7,c,22.7,1.92,in,48.77,,,
SEN017,2026-05-30 14:33:23 UTC,19.6,c,,mm,77.0,19.6,19.6,c,19.6,-2.7,mm,,2026-05-30 14:33:23 UTC,2026-05-30 20:03:23+05:30,2026-05-30
UNKNOWN,2026-08-09 02:39:44 UTC,74.1,F,10.6,millimeters,52.0,74.1,74.1,f,23.39,10.6,mm,10.6,2026-08-09 02:39:44 UTC,2026-08-09 08:09:44+05:30,2026-08-09
UNKNOWN,2026-01-16T04:29:54,23.1,Celsius,0.99,inches,59.0,23.1,23.1,c,23.1,0.99,in,25.15,2026-01-16T04:29:54,2026-01-16 04:29:54+05:30,2026-01-16
SEN043,12-Aug-2026 16:58:44,101.7,f,0.07,inches,44.0,101.7,101.7,f,38.72,0.07,in,1.78,12-Aug-2026 16:58:44,2026-08-12 16:58:44+05:30,2026-08-12
SEN035,2026-06-25 06:49:35 IST,38.6,C,3.7,MM,32.0,38.6,38.6,c,38.6,3.7,mm,3.7,2026-06-25 06:49:35 IST,2026-06-25 06:49:35+05:30,2026-06-25
SEN047,2026-08-18 07:10:40 IST,21.5,Celsius,19.2,millimeters,84.0,21.5,21.5,c,21.5,19.2,mm,19.2,2026-08-18 07:10:40 IST,2026-08-18 07:10:40+05:30,2026-08-18
SEN004,,38.6°C,,4.3,millimeters,85.0,38.6°C,38.6,c,38.6,4.3,mm,4.3,,,
SEN041,2026-06-19 03:04:08 IST,35.6°C,,1.7,inches,37.0,35.6°C,35.6,c,35.6,1.7,in,43.18,2026-06-19 03:04:08 IST,2026-06-19 03:04:08+05:30,2026-06-19
SEN020,2026-05-14 19:32:31 UTC,31.2°C,,1.3,inches,94.0,31.2°C,31.2,c,31.2,1.3,in,33.02,2026-05-14 19:32:31 UTC,2026-05-15 01:02:31+05:30,2026-05-15
SEN030,2026-05-22 10:10:01 UTC,19.8,c,,mm,72.0,19.8,19.8,c,19.8,-19.7,mm,,2026-05-22 10:10:01 UTC,2026-05-22 15:40:01+05:30,2026-05-22
SEN023,2026-01-13 11:34:32 UTC,35.8,C,28.0,MM,58.0,35.8,35.8,c,35.8,28.0,mm,28.0,2026-01-13 11:34:32 UTC,2026-01-13 17:04:32+05:30,2026-01-13
SEN009,2026-07-15 22:03:55 UTC,24.8,C,0.8,millimeters,81.0,24.8,24.8,c,24.8,0.8,mm,0.8,2026-07-15 22:03:55 UTC,2026-07-16 03:33:55+05:30,2026-07-16
SEN044,,63.1,f,16.4,MM,82.0,63.1,63.1,f,17.28,16.4,mm,16.4,,,
SEN041,07-30-2026 10:15 AM,84.9,°F,1.96,in,91.0,84.9,84.9,f,29.39,1.96,in,49.78,07-30-2026 10:15 AM,2026-07-30 10:15:00+05:30,2026-07-30
SEN027,2026-05-27 08:13:39 UTC,23.0°C,,17.8,MM,55.0,23.0°C,23.0,c,23.0,17.8,mm,17.8,2026-05-27 08:13:39 UTC,2026-05-27 13:43:39+05:30,2026-05-27
SEN040,05/01/2026 03:10,28,°C,0.72,in,72.0,28,28.0,c,28.0,0.72,in,18.29,05/01/2026 03:10,2026-01-05 03:10:00+05:30,2026-01-05
UNKNOWN,,77,f,0.5,MM,82.0,77,77.0,f,25.0,0.5,mm,0.5,,,
SEN002,2026-02-23 20:07:57 IST,30.5,C,7.2,MM,59.0,30.5,30.5,c,30.5,7.2,mm,7.2,2026-02-23 20:07:57 IST,2026-02-23 20:07:57+05:30,2026-02-23
SEN015,2026-05-08 23:46:42 UTC,88.3,F,0.61,in,80.0,88.3,88.3,f,31.28,0.61,in,15.49,2026-05-08 23:46:42 UTC,2026-05-09 05:16:42+05:30,2026-05-09
SEN001,,22.4°C,,16.5,mm,94.0,22.4°C,22.4,c,22.4,16.5,mm,16.5,,,
SEN007,08/03/2026,21.9,Celsius,,mm,90.0,21.9,21.9,c,21.9,-2.4,mm,,08/03/2026,2026-03-08 00:00:00+05:30,2026-03-08
SEN023,2026-03-04 12:02:44 IST,89.6,°F,36.5,MM,49.0,89.6,89.6,f,32.0,36.5,mm,36.5,2026-03-04 12:02:44 IST,2026-03-04 12:02:44+05:30,2026-03-04
SEN001,2026-02-07 17:29:24 IST,99.7,Fahrenheit,25.6,mm,75.0,99.7,99.7,f,37.61,25.6,mm,25.6,2026-02-07 17:29:24 IST,2026-02-07 17:29:24+05:30,2026-02-07
SEN031,,24.1,Celsius,20.7,mm,90.0,24.1,24.1,c,24.1,20.7,mm,20.7,,,
SEN004,,86,f,,,63.0,86,86.0,f,30.0,,,,,,
SEN028,2026-06-11 12:01:26 IST,101.7,°F,1.54,inches,58.0,101.7,101.7,f,38.72,1.54,in,39.12,2026-06-11 12:01:26 IST,2026-06-11 12:01:26+05:30,2026-06-11
UNKNOWN,2026-03-25 12:03:29 IST,26.7°C,,0.6,MM,67.0,26.7°C,26.7,c,26.7,0.6,mm,0.6,2026-03-25 12:03:29 IST,2026-03-25 12:03:29+05:30,2026-03-25
SEN010,2026-05-15 18:40:32 UTC,17.2,°C,,mm,53.0,17.2,17.2,c,17.2,-46.5,mm,,2026-05-15 18:40:32 UTC,2026-05-16 00:10:32+05:30,2026-05-16
UNKNOWN,2026-04-04 19:31:23 IST,100.2,F,18.6,mm,,100.2,100.2,f,37.89,18.6,mm,18.6,2026-04-04 19:31:23 IST,2026-04-04 19:31:23+05:30,2026-04-04
SEN014,2026-02-08 01:10:37 IST,95.4,F,41.3,MM,39.0,95.4,95.4,f,35.22,41.3,mm,41.3,2026-02-08 01:10:37 IST,2026-02-08 01:10:37+05:30,2026-02-08
SEN005,03-01-2026 07:48 AM,24.9,C,0.48,inches,68.0,24.9,24.9,c,24.9,0.48,in,12.19,03-01-2026 07:48 AM,2026-03-01 07:48:00+05:30,2026-03-01
SEN010,2026-08-06 02:21:52 IST,22.1°C,,26.0,millimeters,50.0,22.1°C,22.1,c,22.1,26.0,mm,26.0,2026-08-06 02:21:52 IST,2026-08-06 02:21:52+05:30,2026-08-06
SEN036,2026-06-18 08:04:30 IST,65.7,Fahrenheit,3.7,MM,,65.7,65.7,f,18.72,3.7,mm,3.7,2026-06-18 08:04:30 IST,2026-06-18 08:04:30+05:30,2026-06-18
SEN021,2026-02-05 00:04:04 IST,70.7,Fahrenheit,0.5,inch,93.0,70.7,70.7,f,21.5,0.5,in,12.7,2026-02-05 00:04:04 IST,2026-02-05 00:04:04+05:30,2026-02-05
SEN024,2026-03-18 13:40:34,21.4°C,,41.4,MM,69.0,21.4°C,21.4,c,21.4,41.4,mm,41.4,2026-03-18 13:40:34,2026-03-18 13:40:34+05:30,2026-03-18
SEN041,2026-01-11 08:58:24 UTC,30.5,°C,17.7,mm,92.0,30.5,30.5,c,30.5,17.7,mm,17.7,2026-01-11 08:58:24 UTC,2026-01-11 14:28:24+05:30,2026-01-11
SEN039,2026-06-18 08:28:41 UTC,18.7°C,,49.3,millimeters,94.0,18.7°C,18.7,c,18.7,49.3,mm,49.3,2026-06-18 08:28:41 UTC,2026-06-18 13:58:41+05:30,2026-06-18
SEN023,2026-05-06 04:21:38 IST,33.8,°C,,mm,68.0,33.8,33.8,c,33.8,-14.9,mm,,2026-05-06 04:21:38 IST,2026-05-06 04:21:38+05:30,2026-05-06
SEN008,2026-03-14 02:04:35 UTC,16.8,c,,,74.0,16.8,16.8,c,16.8,,,,2026-03-14 02:04:35 UTC,2026-03-14 07:34:35+05:30,2026-03-14
SEN029,2026-02-04 22:55:57 IST,27.6°C,,0.8,in,,27.6°C,27.6,c,27.6,0.8,in,20.32,2026-02-04 22:55:57 IST,2026-02-04 22:55:57+05:30,2026-02-04
SEN041,2026-07-11 16:46:05 UTC,16,c,,mm,86.0,16,16.0,c,16.0,-10.9,mm,,2026-07-11 16:46:05 UTC,2026-07-11 22:16:05+05:30,2026-07-11
UNKNOWN,2026-01-10 16:49:33 IST,16.2,c,0.35,inch,39.0,16.2,16.2,c,16.2,0.35,in,8.89,2026-01-10 16:49:33 IST,2026-01-10 16:49:33+05:30,2026-01-10
SEN007,2026-02-03 21:27:50 UTC,34.4,C,24.5,mm,65.0,34.4,34.4,c,34.4,24.5,mm,24.5,2026-02-03 21:27:50 UTC,2026-02-04 02:57:50+05:30,2026-02-04
SEN033,2026-06-22 14:25:54 UTC,18.2°C,,0.78,inches,78.0,18.2°C,18.2,c,18.2,0.78,in,19.81,2026-06-22 14:25:54 UTC,2026-06-22 19:55:54+05:30,2026-06-22
SEN039,2026-04-23 12:37:38 UTC,76.6,°F,,mm,87.0,76.6,76.6,f,24.78,-9.8,mm,,2026-04-23 12:37:38 UTC,2026-04-23 18:07:38+05:30,2026-04-23
SEN038,2026-08-22 20:12:32 IST,103.1,Fahrenheit,0.75,in,56.0,103.1,103.1,f,39.5,0.75,in,19.05,2026-08-22 20:12:32 IST,2026-08-22 20:12:32+05:30,2026-08-22
SEN048,02-25-2026 09:02 PM,82.6,f,,,80.0,82.6,82.6,f,28.11,,,,02-25-2026 09:02 PM,2026-02-25 21:02:00+05:30,2026-02-25
SEN020,2026-05-03 21:30:19 UTC,23,c,1.13,inch,38.0,23,23.0,c,23.0,1.13,in,28.7,2026-05-03 21:30:19 UTC,2026-05-04 03:00:19+05:30,2026-05-04
SEN011,02-26-2026 01:19 PM,39.5,Celsius,13.3,MM,,39.5,39.5,c,39.5,13.3,mm,13.3,02-26-2026 01:19 PM,2026-02-26 13:19:00+05:30,2026-02-26
SEN024,2026-03-31 11:39:52 IST,85.8,Fahrenheit,0.73,inches,71.0,85.8,85.8,f,29.89,0.73,in,18.54,2026-03-31 11:39:52 IST,2026-03-31 11:39:52+05:30,2026-03-31
SEN014,2026-06-06 01:09:20 IST,89.8,F,32.7,mm,49.0,89.8,89.8,f,32.11,32.7,mm,32.7,2026-06-06 01:09:20 IST,2026-06-06 01:09:20+05:30,2026-06-06
SEN009,2026-01-01 22:02:22 UTC,25.3,°C,0.5,inches,85.0,25.3,25.3,c,25.3,0.5,in,12.7,2026-01-01 22:02:22 UTC,2026-01-02 03:32:22+05:30,2026-01-02
SEN008,2026-01-06 15:43:18,99.3,f,1.65,in,44.0,99.3,99.3,f,37.39,1.65,in,41.91,2026-01-06 15:43:18,2026-01-06 15:43:18+05:30,2026-01-06
SEN035,2026-03-22 23:24:11 IST,93.4,F,36.6,mm,54.0,93.4,93.4,f,34.11,36.6,mm,36.6,2026-03-22 23:24:11 IST,2026-03-22 23:24:11+05:30,2026-03-22
SEN034,2026-07-06 04:54:07 IST,26.8,°C,25.0,millimeters,41.0,26.8,26.8,c,26.8,25.0,mm,25.0,2026-07-06 04:54:07 IST,2026-07-06 04:54:07+05:30,2026-07-06
SEN035,2026-08-02 12:17:16 UTC,22.2,°C,28.1,millimeters,84.0,22.2,22.2,c,22.2,28.1,mm,28.1,2026-08-02 12:17:16 UTC,2026-08-02 17:47:16+05:30,2026-08-02
SEN030,13/01/2026 16:26,36.5,c,0.27,in,35.0,36.5,36.5,c,36.5,0.27,in,6.86,13/01/2026 16:26,2026-01-13 16:26:00+05:30,2026-01-13
SEN035,,79.5,Fahrenheit,1.0,millimeters,62.0,79.5,79.5,f,26.39,1.0,mm,1.0,,,
SEN044,2026-05-18 16:25:14 IST,102.2,°F,,mm,78.0,102.2,102.2,f,39.0,-43.4,mm,,2026-05-18 16:25:14 IST,2026-05-18 16:25:14+05:30,2026-05-18
SEN035,2026-06-28 21:51:03,24.5°C,,41.2,millimeters,84.0,24.5°C,24.5,c,24.5,41.2,mm,41.2,2026-06-28 21:51:03,2026-06-28 21:51:03+05:30,2026-06-28
SEN008,2026-01-12T21:09:05,29.5,Celsius,18.9,mm,80.0,29.5,29.5,c,29.5,18.9,mm,18.9,2026-01-12T21:09:05,2026-01-12 21:09:05+05:30,2026-01-12
SEN007,2026-04-20 07:10:02 IST,16.9,c,26.9,mm,76.0,16.9,16.9,c,16.9,26.9,mm,26.9,2026-04-20 07:10:02 IST,2026-04-20 07:10:02+05:30,2026-04-20
SEN040,2026-02-19 22:18:36 IST,29.7,Celsius,0.64,inches,81.0,29.7,29.7,c,29.7,0.64,in,16.26,2026-02-19 22:18:36 IST,2026-02-19 22:18:36+05:30,2026-02-19
SEN047,2026-06-18 15:10:28 IST,78.1,F,,mm,92.0,78.1,78.1,f,25.61,-6.4,mm,,2026-06-18 15:10:28 IST,2026-06-18 15:10:28+05:30,2026-06-18
SEN024,2026-04-23 12:43:57 IST,60.4,°F,37.1,MM,90.0,60.4,60.4,f,15.78,37.1,mm,37.1,2026-04-23 12:43:57 IST,2026-04-23 12:43:57+05:30,2026-04-23
SEN004,01/06/2026,32.2,c,,mm,69.0,32.2,32.2,c,32.2,-34.2,mm,,01/06/2026,2026-06-01 00:00:00+05:30,2026-06-01
SEN016,,62.2,Fahrenheit,,mm,94.0,62.2,62.2,f,16.78,-5.0,mm,,,,
SEN003,2026-03-07 09:57:50 IST,82.2,F,,,66.0,82.2,82.2,f,27.89,,,,2026-03-07 09:57:50 IST,2026-03-07 09:57:50+05:30,2026-03-07
SEN032,2026-05-27 03:40:33 IST,38.8°C,,24.1,mm,89.0,38.8°C,38.8,c,38.8,24.1,mm,24.1,2026-05-27 03:40:33 IST,2026-05-27 03:40:33+05:30,2026-05-27
SEN025,2026-02-06 13:59:20 UTC,95,f,1.72,in,73.0,95,95.0,f,35.0,1.72,in,43.69,2026-02-06 13:59:20 UTC,2026-02-06 19:29:20+05:30,2026-02-06
SEN011,2026-01-02 20:50:38 UTC,36.5,c,20.3,millimeters,,36.5,36.5,c,36.5,20.3,mm,20.3,2026-01-02 20:50:38 UTC,2026-01-03 02:20:38+05:30,2026-01-03
SEN036,2026-03-21 15:41:00 IST,35.8°C,,45.4,millimeters,76.0,35.8°C,35.8,c,35.8,45.4,mm,45.4,2026-03-21 15:41:00 IST,2026-03-21 15:41:00+05:30,2026-03-21
SEN041,2026-06-29 20:07:53 IST,68.9,Fahrenheit,,mm,31.0,68.9,68.9,f,20.5,-19.1,mm,,2026-06-29 20:07:53 IST,2026-06-29 20:07:53+05:30,2026-06-29
SEN010,2026-04-20 03:32:35 IST,23.2,C,25.1,MM,93.0,23.2,23.2,c,23.2,25.1,mm,25.1,2026-04-20 03:32:35 IST,2026-04-20 03:32:35+05:30,2026-04-20
SEN019,2026-05-02 01:30:32 UTC,61.3,Fahrenheit,25.0,mm,94.0,61.3,61.3,f,16.28,25.0,mm,25.0,2026-05-02 01:30:32 UTC,2026-05-02 07:00:32+05:30,2026-05-02
SEN030,2026-01-01 23:41:26 IST,30.4,°C,23.8,mm,40.0,30.4,30.4,c,30.4,23.8,mm,23.8,2026-01-01 23:41:26 IST,2026-01-01 23:41:26+05:30,2026-01-01
SEN033,2026-04-04 07:25:07 IST,69.8,f,6.2,millimeters,66.0,69.8,69.8,f,21.0,6.2,mm,6.2,2026-04-04 07:25:07 IST,2026-04-04 07:25:07+05:30,2026-04-04
SEN013,2026-03-12 15:44:57 IST,20,Celsius,24.1,millimeters,49.0,20,20.0,c,20.0,24.1,mm,24.1,2026-03-12 15:44:57 IST,2026-03-12 15:44:57+05:30,2026-03-12
SEN033,,74.8,F,,mm,33.0,74.8,74.8,f,23.78,-38.8,mm,,,,
UNKNOWN,2026-01-27 01:48:03 IST,71.6,°F,18.3,MM,50.0,71.6,71.6,f,22.0,18.3,mm,18.3,2026-01-27 01:48:03 IST,2026-01-27 01:48:03+05:30,2026-01-27
SEN025,2026-04-06 09:32:26 IST,70.9,°F,,mm,62.0,70.9,70.9,f,21.61,-46.7,mm,,2026-04-06 09:32:26 IST,2026-04-06 09:32:26+05:30,2026-04-06
SEN009,2026-08-13 13:12:36 UTC,20.7,c,47.7,MM,31.0,20.7,20.7,c,20.7,47.7,mm,47.7,2026-08-13 13:12:36 UTC,2026-08-13 18:42:36+05:30,2026-08-13
SEN032,2026-07-31 17:42:53 IST,73.8,f,36.4,mm,45.0,73.8,73.8,f,23.22,36.4,mm,36.4,2026-07-31 17:42:53 IST,2026-07-31 17:42:53+05:30,2026-07-31
SEN015,2026-04-23 03:20:55 UTC,31.5,C,3.5,MM,43.0,31.5,31.5,c,31.5,3.5,mm,3.5,2026-04-23 03:20:55 UTC,2026-04-23 08:50:55+05:30,2026-04-23
SEN029,2026-01-27 07:59:34 IST,68.9,°F,,,76.0,68.9,68.9,f,20.5,,,,2026-01-27 07:59:34 IST,2026-01-27 07:59:34+05:30,2026-01-27
SEN022,2026-03-24 23:08:20 UTC,37.3,°C,46.2,millimeters,89.0,37.3,37.3,c,37.3,46.2,mm,46.2,2026-03-24 23:08:20 UTC,2026-03-25 04:38:20+05:30,2026-03-25
SEN020,2026-03-27 22:06:40 UTC,19.9,°C,35.1,mm,,19.9,19.9,c,19.9,35.1,mm,35.1,2026-03-27 22:06:40 UTC,2026-03-28 03:36:40+05:30,2026-03-28
SEN041,2026-01-07 12:17:15 IST,84,F,1.44,inches,87.0,84,84.0,f,28.89,1.44,in,36.58,2026-01-07 12:17:15 IST,2026-01-07 12:17:15+05:30,2026-01-07
SEN023,,96.6,°F,0.04,inches,91.0,96.6,96.6,f,35.89,0.04,in,1.02,,,
SEN040,2026-02-11 09:38:31 IST,33.7,Celsius,49.7,MM,32.0,33.7,33.7,c,33.7,49.7,mm,49.7,2026-02-11 09:38:31 IST,2026-02-11 09:38:31+05:30,2026-02-11
SEN001,2026-02-08 12:10:33 IST,82.4,F,0.6,inch,79.0,82.4,82.4,f,28.0,0.6,in,15.24,2026-02-08 12:10:33 IST,2026-02-08 12:10:33+05:30,2026-02-08
SEN034,2026-03-30 07:13:47 UTC,39.3°C,,,mm,69.0,39.3°C,39.3,c,39.3,-0.9,mm,,2026-03-30 07:13:47 UTC,2026-03-30 12:43:47+05:30,2026-03-30
