trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,distance,distance_unit,vehicle_no,driver_id,distance_km,departure_datetime,arrival_datetime,transit_hours_final,transit_hours_imputed,vehicle_no_raw,vehicle_no_clean,mandi_id_raw,mandi_name,district,state,mandi_type
TRP008152,MANDI019,WH-Central,02/05/2026 09:15,02/05/2026 18:45,9.5,553.3,km,PB 53 AB 4593,DRV920,553.3,2026-05-02 09:15:00,2026-05-02 18:45:00,9.5,False,PB 53 AB 4593,PB53AB4593,mandi_019,Karimnagar Grain Market,Moga,Punjab,Private
TRP000484,MANDI018,Export-Terminal,02-Aug-2026 03:53:48,02-Aug-2026 19:35:48,15.7,798.0,km,PB-65-AB-4841,,798.0,2026-08-02 03:53:48,2026-08-02 19:35:48,15.7,False,PB-65-AB-4841,PB65AB4841,mandi_018,Jaunpur Mandi,Moga,Punjab,Unknown
TRP006460,MANDI011,WH-East,13-Jul-2026 10:12:45,2026-07-13 15:30:45,5.3,275.0,km,DL-48-CD-9566,DRV803,275.0,2026-07-13 10:12:45,2026-07-13 15:30:45,5.3,False,DL-48-CD-9566,DL48CD9566,MANDI011,Arrah Mandi,Patiala,Punjab,Unknown
TRP005643,MANDI009,WH-Central,2026-06-20T11:25:40,06-21-2026 12:31 AM,13.1,716.3,km,hr 45-AB-2105,DRV326,716.3,2026-06-20 11:25:40,2026-06-21 00:31:00,13.1,False,hr 45-AB-2105,HR45AB2105,mandi_009,Jamshedpur APMC,Jalandhar,Punjab,APMC
TRP005033,MANDI048,WH-East,09/09/2026 14:19,10/09/2026,13.5,716.4,km,,DRV415,716.4,2026-09-09 14:19:00,2026-09-10 00:00:00,13.5,False,,,mandi_048,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh,Direct
TRP005838,MANDI017,WH-Central,2026-06-26 06:21:28,27-Jun-2026 03:45:28,,1000.8,km,HR 67 CD 5973,DRV626,1000.8,2026-06-26 06:21:28,2026-06-27 03:45:28,21.4,True,HR 67 CD 5973,HR67CD5973,MANDI017,Parbhani Market,,Punjab,Private
TRP003149,MANDI033,WH-North,01-01-2026 11:16 AM,,7.7,316.5 KM,,PB-62-CD-5129,DRV342,316.5,2026-01-01 11:16:00,,7.7,False,PB-62-CD-5129,PB62CD5129,MANDI033,South Dumdum Grain Market,Ambala,Haryana,APMC
TRP009930,MANDI048,WH-South,09/02/2026 05:25,,,486.0,km,UP 40 DF 1180,DRV783,486.0,2026-02-09 05:25:00,,,False,UP 40 DF 1180,UP40DF1180,mandi_048,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh,Direct
TRP008787,MANDI022,WH-South,05-20-2026 08:31 PM,2026-05-21T01:13:44,4.7 hrs,244.3,km,hr 57-BC-1128,DRV403,244.3,2026-05-20 20:31:00,2026-05-21 01:13:44,4.7,False,hr 57-BC-1128,HR57BC1128,MANDI022,Eluru APMC,Karnal,Haryana,Unknown
TRP005653,MANDI032,WH-South,09/06/2026,10/06/2026,17.2,608.7571687000001,miles,HR-49-CD-3613,DRV654,979.7,2026-06-09 00:00:00,2026-06-10 00:00:00,17.2,False,HR-49-CD-3613,HR49CD3613,mandi_032,Chapra Grain Market,,Haryana,Private
TRP008175,MANDI047,WH-North,01-12-2026 07:55 PM,13-Jan-2026 19:07:03,23.2,630.0080569,miles,HR-39-AB-7971,DRV497,1013.9,2026-01-12 19:55:00,2026-01-13 19:07:03,23.2,False,HR-39-AB-7971,HR39AB7971,mandi_047,Orai Market,Muzaffarnagar,Uttar Pradesh,APMC
TRP005795,MANDI020,WH-South,2026-06-21T11:39:44,,23.6,1390.6,km,,DRV947,1390.6,2026-06-21 11:39:44,,23.6,False,,,MANDI020,Kadapa Mandi,Ferozepur,Punjab,Direct
TRP005283,MANDI039,WH-West,08/07/2026 22:27,09/07/2026,5.3 hrs,315.7,km,HR39-CD-5921,DRV622,315.7,2026-07-08 22:27:00,2026-07-09 00:00:00,5.3,False,HR39-CD-5921,HR39CD5921,MANDI-039,Anand Grain Market,,Haryana,APMC
TRP004378,MANDI035,WH-East,20-Mar-2026 23:11:29,2026-03-21T05:11:29,6.0,207.60005110000003,miles,HR74-CD-9527,DRV270,334.1,2026-03-20 23:11:29,2026-03-21 05:11:29,6.0,False,HR74-CD-9527,HR74CD9527,M035,Guntakal Mandi,Ambala,Haryana,APMC
TRP007392,MANDI025,WH-Central,14/05/2026,2026-05-15 03:54:19,,538.5,km,RJ-62-CD-6359,DRV958,538.5,2026-05-14 00:00:00,2026-05-15 03:54:19,27.91,True,RJ-62-CD-6359,RJ62CD6359,M025,Dindigul APMC,Karnal,Haryana,APMC
TRP001559,MANDI041,WH-South,27/05/2026 20:11,2026-05-28 09:29:32,13.3,671.1,km,UP-60-CD-2446,DRV650,671.1,2026-05-27 20:11:00,2026-05-28 09:29:32,13.3,False,UP-60-CD-2446,UP60CD2446,mandi_041,Gurgaon Grain Market,Fatehabad,Haryana,APMC
TRP001433,MANDI029,WH-West,2026-06-21T01:20:44,21-Jun-2026 06:08:44,4.8,261.7,km,up 39-BC-3131,DRV765,261.7,2026-06-21 01:20:44,2026-06-21 06:08:44,4.8,False,up 39-BC-3131,UP39BC3131,M029,Asansol Grain Market,Sirsa,Haryana,Direct
TRP000040,MANDI006,WH-South,24/01/2026 07:05,24-Jan-2026 22:23:42,,877.8,km,UP24-BC-3811,DRV670,877.8,2026-01-24 07:05:00,2026-01-24 22:23:42,15.31,True,UP24-BC-3811,UP24BC3811,mandi006,Kochi Mandi,Amritsar,Punjab,Direct
TRP003996,MANDI008,WH-East,08-20-2026 08:06 PM,2026-08-21 09:48:28,13.7 hrs,715.6,km,HR93-DF-5165,,715.6,2026-08-20 20:06:00,2026-08-21 09:48:28,13.7,False,HR93-DF-5165,HR93DF5165,MANDI008,Bijapur Market,Amritsar,Punjab,APMC
TRP007461,MANDI004,WH-West,08/06/2026,,21.1,995.7,km,PB 71 BC 6631,,995.7,2026-06-08 00:00:00,,21.1,False,PB 71 BC 6631,PB71BC6631,MANDI-004,Khandwa Grain Market,Ludhiana,Punjab,APMC
TRP005973,MANDI048,Export-Terminal,19/06/2026 13:25,20-Jun-2026 02:49:57,13.4,399.8522385,miles,dl 70-CD-1378,DRV423,643.5,2026-06-19 13:25:00,2026-06-20 02:49:57,13.4,False,dl 70-CD-1378,DL70CD1378,MANDI048,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh,Direct
TRP005174,MANDI054,WH-Central,05-18-2026 01:05 PM,05-19-2026 03:29 AM,,835.5,km,HR75-AB-3097,DRV499,835.5,2026-05-18 13:05:00,2026-05-19 03:29:00,14.4,True,HR75-AB-3097,HR75AB3097,MANDI054,Nangloi Jat Grain Market,Saharanpur,,Direct
TRP000961,MANDI043,WH-North,07/01/2026 21:56,2026-01-08T18:02:05,20.1,723.3379811,miles,dl 61-BC-2591,DRV807,1164.1,2026-01-07 21:56:00,2026-01-08 18:02:05,20.1,False,dl 61-BC-2591,DL61BC2591,MANDI043,Danapur Mandi,Agra,Uttar Pradesh,Private
TRP000933,MANDI009,WH-North,2026-04-10 10:27:27,10-Apr-2026 20:33:27,10.1,585.5,km,,DRV613,585.5,2026-04-10 10:27:27,2026-04-10 20:33:27,10.1,False,,,MANDI009,Jamshedpur APMC,Jalandhar,Punjab,APMC
TRP007465,MANDI044,Export-Terminal,2026-02-07T19:51:11,08/02/2026 13:39,17.8,519.0311963,miles,RJ45-AB-4860,DRV224,835.3,2026-02-07 19:51:11,2026-02-08 13:39:00,17.8,False,RJ45-AB-4860,RJ45AB4860,mandi_044,Dehri Mandi,Agra,Uttar Pradesh,APMC
TRP009213,MANDI039,WH-West,2026-05-06 23:18:42,2026-05-07 01:36:42,2.3,110.1,km,dl 75-CD-5891,,110.1,2026-05-06 23:18:42,2026-05-07 01:36:42,2.3,False,dl 75-CD-5891,DL75CD5891,MANDI039,Anand Grain Market,,Haryana,APMC
TRP008147,MANDI019,WH-North,28-May-2026 13:14:44,2026-05-29T05:32:44,16.3,551.0939399,miles,HR-30-BC-9997,DRV384,886.9,2026-05-28 13:14:44,2026-05-29 05:32:44,16.3,False,HR-30-BC-9997,HR30BC9997,MANDI019,Karimnagar Grain Market,Moga,Punjab,Private
TRP006177,MANDI036,WH-West,04/01/2026 18:01,2026-01-04 22:07:19,4.1,196.7 KM,,pb 73-AB-4041,DRV497,196.7,2026-01-04 18:01:00,2026-01-04 22:07:19,4.1,False,pb 73-AB-4041,PB73AB4041,mandi036,Mysore Grain Market,Kurukshetra,Haryana,APMC
TRP007259,MANDI048,WH-North,11-Jul-2026 00:39:35,11-Jul-2026 12:51:35,12.2,620.1,km,DL-59-BC-5485,DRV350,620.1,2026-07-11 00:39:35,2026-07-11 12:51:35,12.2,False,DL-59-BC-5485,DL59BC5485,MANDI048,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh,Direct
TRP000034,MANDI057,WH-West,2026-08-13T05:21:48,13-Aug-2026 14:15:48,8.9,437.5,km,DL-65-AB-3380,DRV761,437.5,2026-08-13 05:21:48,2026-08-13 14:15:48,8.9,False,DL-65-AB-3380,DL65AB3380,MANDI057,Gorakhpur APMC,Bareilly,,Direct
TRP001251,MANDI039,WH-West,06-22-2026 12:15 AM,06-22-2026 06:39 AM,6.4,257.7 KM,,hr 17-AB-1638,DRV299,257.7,2026-06-22 00:15:00,2026-06-22 06:39:00,6.4,False,hr 17-AB-1638,HR17AB1638,MANDI039,Anand Grain Market,,Haryana,APMC
TRP003527,MANDI055,WH-North,02-17-2026 07:49 PM,,4.1,148.9426287,miles,PB-25-BC-1517,DRV630,239.7,2026-02-17 19:49:00,,4.1,False,PB-25-BC-1517,PB25BC1517,MANDI055,Chandigarh APMC,Bareilly,Uttar Pradesh,APMC
TRP008904,MANDI056,WH-North,05-02-2026 10:59 AM,2026-05-03 07:17:55,20.3,1115.4,km,PB 28 DF 8439,DRV544,1115.4,2026-05-02 10:59:00,2026-05-03 07:17:55,20.3,False,PB 28 DF 8439,PB28DF8439,MANDI056,Bilaspur Mandi,Bareilly,Uttar Pradesh,Private
TRP001537,MANDI012,WH-West,09/05/2026 02:30,09/05/2026,15.1,835.3,km,RJ-10-AB-4277,,835.3,2026-05-09 02:30:00,2026-05-09 00:00:00,15.1,False,RJ-10-AB-4277,RJ10AB4277,mandi012,Gaya Grain Market,Patiala,Punjab,Unknown
TRP008180,MANDI021,Export-Terminal,2026-02-06 08:55:45,02-06-2026 01:25 PM,4.5,199.5,km,UP-83-AB-2103,DRV524,199.5,2026-02-06 08:55:45,2026-02-06 13:25:00,4.5,False,UP-83-AB-2103,UP83AB2103,mandi_021,Guna Mandi,Ferozepur,Punjab,APMC
TRP001122,MANDI011,WH-South,05-01-2026 10:46 PM,,16.9,819.7,km,RJ-78-BC-1965,DRV222,819.7,2026-05-01 22:46:00,,16.9,False,RJ-78-BC-1965,RJ78BC1965,MANDI011,Arrah Mandi,Patiala,Punjab,Unknown
TRP001218,MANDI052,Export-Terminal,24/06/2026 08:17,24-Jun-2026 14:11:31,5.9,271.6,km,RJ-41-DF-2783,DRV825,271.6,2026-06-24 08:17:00,2026-06-24 14:11:31,5.9,False,RJ-41-DF-2783,RJ41DF2783,052,Kakinada APMC,Saharanpur,Uttar Pradesh,Unknown
TRP004111,MANDI032,WH-North,04/08/2026 21:07,05/08/2026 05:49,8.7,520.4,km,RJ87-CD-3403,DRV733,520.4,2026-08-04 21:07:00,2026-08-05 05:49:00,8.7,False,RJ87-CD-3403,RJ87CD3403,mandi_032,Chapra Grain Market,,Haryana,Private
TRP008942,MANDI021,Export-Terminal,2026-04-19T23:37:28,2026-04-20 16:19:28,16.7,850.8,km,PB-98-DF-3830,DRV786,850.8,2026-04-19 23:37:28,2026-04-20 16:19:28,16.7,False,PB-98-DF-3830,PB98DF3830,mandi_021,Guna Mandi,Ferozepur,Punjab,APMC
TRP000305,MANDI026,Export-Terminal,22/06/2026,,7.6,422.6,km,hr 20-CD-6378,DRV161,422.6,2026-06-22 00:00:00,,7.6,False,hr 20-CD-6378,HR20CD6378,MANDI026,Tadipatri Mandi,Hisar,Haryana,Private
TRP000624,MANDI048,Export-Terminal,2026-04-01 04:37:31,2026-04-01 12:55:31,8.3,417.5,km,,DRV190,417.5,2026-04-01 04:37:31,2026-04-01 12:55:31,8.3,False,,,MANDI048,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh,Direct
TRP007782,MANDI024,WH-South,03/08/2026,2026-08-03 14:39:21,8.8,313.4816695,miles,rj 72-AB-5979,DRV685,504.5,2026-08-03 00:00:00,2026-08-03 14:39:21,8.8,False,rj 72-AB-5979,RJ72AB5979,MANDI024,Jaipur Mandi,Karnal,Haryana,APMC
TRP002486,MANDI025,WH-Central,08-06-2026 03:13 AM,,9.5 hrs,503.0,km,HR 58 AB 7983,DRV608,503.0,2026-08-06 03:13:00,,9.5,False,HR 58 AB 7983,HR58AB7983,MANDI025,Dindigul APMC,Karnal,Haryana,APMC
TRP003291,MANDI023,WH-North,02/06/2026 17:53,03-Jun-2026 10:29:33,16.6,766.0,km,PB-51-CD-7947,DRV432,766.0,2026-06-02 17:53:00,2026-06-03 10:29:33,16.6,False,PB-51-CD-7947,PB51CD7947,MANDI023,Panihati APMC,Karnal,Haryana,Private
TRP006819,MANDI048,WH-South,23-Jul-2026 07:56:05,23/07/2026 19:02,11.1,446.2,km,DL-38-BC-6694,DRV485,446.2,2026-07-23 07:56:05,2026-07-23 19:02:00,11.1,False,DL-38-BC-6694,DL38BC6694,MANDI048,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh,Direct
TRP001278,MANDI022,WH-Central,18-Jul-2026 20:53:32,19-Jul-2026 01:41:32,4.8,262.2,km,HR94-DF-4063,DRV934,262.2,2026-07-18 20:53:32,2026-07-19 01:41:32,4.8,False,HR94-DF-4063,HR94DF4063,mandi_022,Eluru APMC,Karnal,Haryana,Unknown
TRP001902,MANDI028,Export-Terminal,07/07/2026 07:23,07-08-2026 01:59 AM,18.6,1020.6,km,UP-34-DF-9243,DRV421,1020.6,2026-07-07 07:23:00,2026-07-08 01:59:00,18.6,False,UP-34-DF-9243,UP34DF9243,MANDI028,Machilipatnam APMC,Hisar,Haryana,Unknown
TRP000440,MANDI054,WH-North,01-22-2026 02:59 PM,2026-01-23 12:23:07,21.4,1016.8,km,up 50-AB-4159,DRV162,1016.8,2026-01-22 14:59:00,2026-01-23 12:23:07,21.4,False,up 50-AB-4159,UP50AB4159,MANDI054,Nangloi Jat Grain Market,Saharanpur,,Direct
TRP007232,MANDI038,WH-South,2026-04-10 06:17:01,10-Apr-2026 22:47:01,16.5,842.6 KM,,,DRV709,842.6,2026-04-10 06:17:01,2026-04-10 22:47:01,16.5,False,,,MANDI038,Jalandhar Mandi,Kurukshetra,Haryana,Private
TRP002456,MANDI016,WH-East,05-Jun-2026 08:59:36,05-Jun-2026 11:59:36,3.0,164.3,km,DL-30-BC-8601,,164.3,2026-06-05 08:59:36,2026-06-05 11:59:36,3.0,False,DL-30-BC-8601,DL30BC8601,M016,Kulti APMC,Bathinda,Punjab,Unknown
TRP002904,MANDI007,WH-South,16/01/2026,2026-01-16 16:54:49,10.2,524.1,km,RJ-55-BC-3913,DRV357,524.1,2026-01-16 00:00:00,2026-01-16 16:54:49,10.2,False,RJ-55-BC-3913,RJ55BC3913,mandi007,Nashik Mandi,Amritsar,Punjab,Private
TRP008945,MANDI018,WH-Central,2026-07-04 21:17:31,2026-07-05T17:53:31,20.6,610.3727332999999,miles,PB83-DF-9790,DRV893,982.3,2026-07-04 21:17:31,2026-07-05 17:53:31,20.6,False,PB83-DF-9790,PB83DF9790,mandi_018,Jaunpur Mandi,Moga,Punjab,Unknown
TRP006235,MANDI031,WH-South,01/02/2026 14:55,01-Feb-2026 21:31:24,6.6 hrs,364.3 KM,,HR69-AB-7486,,364.3,2026-02-01 14:55:00,2026-02-01 21:31:24,6.6,False,HR69-AB-7486,HR69AB7486,MANDI031,Nangloi Jat Mandi,Sirsa,Haryana,APMC
TRP006410,MANDI049,WH-West,13/01/2026,2026-01-14T15:30:30,20.0 hrs,973.7,km,PB73-BC-6200,DRV302,973.7,2026-01-13 00:00:00,2026-01-14 15:30:30,20.0,False,PB73-BC-6200,PB73BC6200,MANDI-049,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh,Private
TRP001922,MANDI045,WH-North,20/03/2026 20:25,21/03/2026 03:37,7.2,297.1,km,HR-67-CD-4681,DRV547,297.1,2026-03-20 20:25:00,2026-03-21 03:37:00,7.2,False,HR-67-CD-4681,HR67CD4681,MANDI045,Farrukhabad Mandi,Meerut,Uttar Pradesh,Private
TRP006686,MANDI051,Export-Terminal,01/04/2026 06:14,02-Apr-2026 02:14:05,20.0,1007.1,km,PB 13 DF 2493,,1007.1,2026-04-01 06:14:00,2026-04-02 02:14:05,20.0,False,PB 13 DF 2493,PB13DF2493,M051,Gulbarga Market,Saharanpur,Uttar Pradesh,Private
TRP005144,MANDI032,WH-South,2026-05-06 15:52:28,2026-05-07 04:22:28,12.5,644.4 KM,,RJ28-DF-3707,DRV628,644.4,2026-05-06 15:52:28,2026-05-07 04:22:28,12.5,False,RJ28-DF-3707,RJ28DF3707,M032,Chapra Grain Market,,Haryana,Private
TRP004697,MANDI044,Export-Terminal,2026-08-15 03:48:23,16/08/2026 03:36,23.8,621.1845887000001,miles,DL 52 BC 1440,DRV361,999.7,2026-08-15 03:48:23,2026-08-16 03:36:00,23.8,False,DL 52 BC 1440,DL52BC1440,MANDI044,Dehri Mandi,Agra,Uttar Pradesh,APMC
TRP001632,MANDI027,WH-West,2026-02-19 19:53:29,20/02/2026,11.9,592.1,km,up 24-CD-4874,DRV886,592.1,2026-02-19 19:53:29,2026-02-20 00:00:00,11.9,False,up 24-CD-4874,UP24CD4874,M027,Kochi APMC,Hisar,Haryana,APMC
TRP007839,MANDI056,WH-Central,04-23-2026 10:45 AM,2026-04-24T01:33:34,14.8,794.7 KM,,DL-17-DF-2064,DRV560,794.7,2026-04-23 10:45:00,2026-04-24 01:33:34,14.8,False,DL-17-DF-2064,DL17DF2064,M056,Bilaspur Mandi,Bareilly,Uttar Pradesh,Private
TRP003384,MANDI052,Export-Terminal,2026-04-28 05:23:39,,19.6,1021.5 KM,,RJ-44-CD-5651,,1021.5,2026-04-28 05:23:39,,19.6,False,RJ-44-CD-5651,RJ44CD5651,MANDI-052,Kakinada APMC,Saharanpur,Uttar Pradesh,Unknown
TRP002610,MANDI017,Export-Terminal,2026-02-09 18:12:41,2026-02-10 02:36:41,8.4,479.5,km,,,479.5,2026-02-09 18:12:41,2026-02-10 02:36:41,8.4,False,,,mandi017,Parbhani Market,,Punjab,Private
TRP005169,MANDI025,Export-Terminal,07-02-2026 05:00 PM,07-02-2026 11:36 PM,6.6 hrs,343.0,km,UP31-CD-6120,DRV353,343.0,2026-07-02 17:00:00,2026-07-02 23:36:00,6.6,False,UP31-CD-6120,UP31CD6120,MANDI025,Dindigul APMC,Karnal,Haryana,APMC
TRP007891,MANDI023,WH-North,2026-06-11 18:00:06,12/06/2026,17.6,905.9,km,hr 94-CD-1203,DRV937,905.9,2026-06-11 18:00:06,2026-06-12 00:00:00,17.6,False,hr 94-CD-1203,HR94CD1203,MANDI023,Panihati APMC,Karnal,Haryana,Private
TRP001248,MANDI029,WH-South,06/08/2026 00:51,2026-08-06 22:39:09,21.8 hrs,1018.2,km,HR-49-DF-9523,DRV507,1018.2,2026-08-06 00:51:00,2026-08-06 22:39:09,21.8,False,HR-49-DF-9523,HR49DF9523,mandi029,Asansol Grain Market,Sirsa,Haryana,Direct
TRP008234,MANDI054,WH-South,2026-06-08 02:25:26,2026-06-08 08:49:26,6.4,354.5,km,up 77-BC-2470,DRV735,354.5,2026-06-08 02:25:26,2026-06-08 08:49:26,6.4,False,up 77-BC-2470,UP77BC2470,MANDI054,Nangloi Jat Grain Market,Saharanpur,,Direct
TRP006454,MANDI019,WH-South,07-Jun-2026 18:33:51,2026-06-08T15:09:51,20.6,743.5325386,miles,dl 39-BC-7294,,1196.6,2026-06-07 18:33:51,2026-06-08 15:09:51,20.6,False,dl 39-BC-7294,DL39BC7294,MANDI-019,Karimnagar Grain Market,Moga,Punjab,Private
TRP002031,MANDI057,WH-South,2026-08-01 08:47:10,2026-08-01 13:05:10,-4.3,185.9,km,RJ-30-DF-3879,DRV891,185.9,2026-08-01 08:47:10,2026-08-01 13:05:10,4.3,True,RJ-30-DF-3879,RJ30DF3879,MANDI-057,Gorakhpur APMC,Bareilly,,Direct
TRP007504,MANDI043,Export-Terminal,16-Jan-2026 15:53:18,17/01/2026,19.6,914.9 KM,,UP-78-AB-5221,DRV629,914.9,2026-01-16 15:53:18,2026-01-17 00:00:00,19.6,False,UP-78-AB-5221,UP78AB5221,MANDI043,Danapur Mandi,Agra,Uttar Pradesh,Private
TRP003195,MANDI023,WH-South,2026-07-02 17:36:29,2026-07-03T17:18:29,23.7,1160.4,km,UP-55-CD-7932,,1160.4,2026-07-02 17:36:29,2026-07-03 17:18:29,23.7,False,UP-55-CD-7932,UP55CD7932,MANDI023,Panihati APMC,Karnal,Haryana,Private
TRP006585,MANDI037,WH-West,25-Jul-2026 01:21:38,,-3.7,216.5,km,,DRV203,216.5,2026-07-25 01:21:38,,,False,,,mandi037,Jorhat Grain Market,Kurukshetra,Haryana,APMC
TRP005072,MANDI033,WH-West,02/06/2026 09:35,02/06/2026 17:29,7.9,378.4,km,,,378.4,2026-06-02 09:35:00,2026-06-02 17:29:00,7.9,False,,,MANDI-033,South Dumdum Grain Market,Ambala,Haryana,APMC
TRP001684,MANDI023,WH-South,2026-04-02T15:52:48,03-Apr-2026 08:10:48,,852.2,km,PB-27-BC-9556,DRV142,852.2,2026-04-02 15:52:48,2026-04-03 08:10:48,16.3,True,PB-27-BC-9556,PB27BC9556,mandi023,Panihati APMC,Karnal,Haryana,Private
TRP005282,MANDI047,WH-East,27/04/2026,04-28-2026 06:09 PM,22.8,842.2062534,miles,DL86-BC-3753,DRV801,1355.4,2026-04-27 00:00:00,2026-04-28 18:09:00,22.8,False,DL86-BC-3753,DL86BC3753,047,Orai Market,Muzaffarnagar,Uttar Pradesh,APMC
TRP002702,MANDI021,WH-East,15-Aug-2026 13:34:52,,18.7,1052.5,km,dl 36-CD-4633,DRV980,1052.5,2026-08-15 13:34:52,,18.7,False,dl 36-CD-4633,DL36CD4633,MANDI021,Guna Mandi,Ferozepur,Punjab,APMC
TRP005728,MANDI003,WH-Central,04/04/2026 18:01,2026-04-04T22:07:53,4.1,217.4 KM,,PB-53-AB-1832,DRV811,217.4,2026-04-04 18:01:00,2026-04-04 22:07:53,4.1,False,PB-53-AB-1832,PB53AB1832,MANDI003,Vijayawada Mandi,Ludhiana,Punjab,Unknown
TRP006775,MANDI039,WH-West,2026-06-15 16:11:00,16-Jun-2026 07:05:00,14.9,753.5,km,RJ-27-AB-2586,DRV100,753.5,2026-06-15 16:11:00,2026-06-16 07:05:00,14.9,False,RJ-27-AB-2586,RJ27AB2586,mandi039,Anand Grain Market,,Haryana,APMC
TRP003747,MANDI044,WH-West,2026-01-06T10:03:07,07-Jan-2026 03:39:07,17.6,710.0,km,up 62-CD-7472,DRV268,710.0,2026-01-06 10:03:07,2026-01-07 03:39:07,17.6,False,up 62-CD-7472,UP62CD7472,MANDI044,Dehri Mandi,Agra,Uttar Pradesh,APMC
TRP007389,MANDI002,WH-East,2026-05-15 02:42:06,2026-05-15 16:48:06,14.1,796.1 KM,,hr 28-AB-1975,DRV770,796.1,2026-05-15 02:42:06,2026-05-15 16:48:06,14.1,False,hr 28-AB-1975,HR28AB1975,mandi_002,Solapur Mandi,Ludhiana,,APMC
TRP008483,MANDI029,WH-East,06-11-2026 11:02 AM,11/06/2026,9.5,466.1,km,HR28-BC-5774,DRV713,466.1,2026-06-11 11:02:00,2026-06-11 00:00:00,9.5,False,HR28-BC-5774,HR28BC5774,MANDI029,Asansol Grain Market,Sirsa,Haryana,Direct
TRP002933,MANDI057,WH-South,21-Feb-2026 22:30:34,22/02/2026,10.1,445.6,km,DL 23 AB 5218,DRV564,445.6,2026-02-21 22:30:34,2026-02-22 00:00:00,10.1,False,DL 23 AB 5218,DL23AB5218,mandi057,Gorakhpur APMC,Bareilly,,Direct
TRP005382,MANDI055,WH-Central,08/06/2026,06-08-2026 11:09 AM,5.2,294.0,km,hr 81-AB-3126,DRV461,294.0,2026-06-08 00:00:00,2026-06-08 11:09:00,5.2,False,hr 81-AB-3126,HR81AB3126,MANDI055,Chandigarh APMC,Bareilly,Uttar Pradesh,APMC
